t_history	r_history	delta_ts	ys
0,3,5,10,23,57,1,4,13,17,38,1,3,6,12,28,55,114	4,3,3,3,3,1,3,4,2,3,1,3,3,3,3,3,3,3	3,5,10,23,57,1,4,13,17,38,1,3,6,12,28,55,114,230	1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,5,13,29,69,1,2,4,8,16,40,92	4,3,3,3,1,3,3,3,3,3,3,3	5,13,29,69,1,2,4,8,16,40,92,208	1,1,1,0,1,1,1,1,1,1,1,1
0,4,5,11,26,58,141	4,2,3,3,3,3,3	4,5,11,26,58,141,343	1,1,1,1,1,1,1
0,7,47,43,170,1,4,18	4,3,2,3,1,3,4,3	7,47,43,170,1,4,18,58	1,1,1,0,1,1,1,1
0,4,10,25,58,142	4,3,3,3,3,3	4,10,25,58,142,362	1,1,1,1,1,1
0,5,4,5,9,11,24,48,101	4,2,2,3,2,3,3,3,3	5,4,5,9,11,24,48,101,209	1,1,1,1,1,1,1,1,1
0,5,5,12,26,62,144	4,2,3,3,3,3,3	5,5,12,26,62,144,344	1,1,1,1,1,1,1
0,3,6,15,37,91	4,3,3,3,3,4	3,6,15,37,91,293	1,1,1,1,1,1
0,4,5,11,23,50,57,124	4,2,3,3,3,2,3,3	4,5,11,23,50,57,124,261	1,1,1,1,1,1,1,1
0,5,10,23,54,62	4,3,3,3,2,4	5,10,23,54,62,193	1,1,1,1,1,1
0,4,1,2,5,6,2,2,3,5,11,18,32,38,65,117	4,1,3,3,2,1,3,3,3,3,3,3,2,3,3,3	4,1,2,5,6,2,2,3,5,11,18,32,38,65,117,207	0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,3,5,13,34,87	4,3,3,3,3,3	3,5,13,34,87,227	1,1,1,1,1,1
0,3,8,9,16,39,42,50,103	4,3,2,3,3,2,2,3,3	3,8,9,16,39,42,50,103,209	1,1,1,1,1,1,1,1,1
0,4,10,26,64,166	4,3,3,3,3,3	4,10,26,64,166,426	1,1,1,1,1,1
0,3,9,17,44,109	4,3,3,3,3,3	3,9,17,44,109,260	1,1,1,1,1,1
0,4,9,32,38,96	4,3,4,2,3,3	4,9,32,38,96,251	1,1,1,1,1,1
0,3,7,17,42,49,116,1,3,6,13,24,50	1,3,3,3,2,3,1,3,3,3,3,3,3	3,7,17,42,49,116,1,3,6,13,24,50,109	1,1,1,1,1,0,1,1,1,1,1,1,1
0,5,13,35,1,2,5,11,12,12,23,42,88	4,3,3,1,3,3,3,2,2,3,3,3,3	5,13,35,1,2,5,11,12,12,23,42,88,179	1,1,0,1,1,1,1,1,1,1,1,1,1
0,5,7,14,33,75,177,429,1,3,8,15	4,2,3,3,3,3,3,1,3,3,3,3	5,7,14,33,75,177,429,1,3,8,15,35	1,1,1,1,1,1,0,1,1,1,1,1
0,1,2,6,15,1,2,4,11,26,1,3,5,7,9,8,10,12,17,1,3,5,7,8,11,16,22,30,40,50,62,78,63,99	1,3,3,3,1,3,3,3,3,1,2,2,2,2,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3	1,2,6,15,1,2,4,11,26,1,3,5,7,9,8,10,12,17,1,3,5,7,8,11,16,22,30,40,50,62,78,63,99,126	1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,3,9,25,1,2,4,9,18,22,51,106	3,3,3,1,3,3,3,3,2,3,3,3	3,9,25,1,2,4,9,18,22,51,106,224	1,1,0,1,1,1,1,1,1,1,1,1
0,3,9,24,61,1,4,9,8,16,18,39,81	4,3,3,3,1,3,3,2,3,2,3,3,3	3,9,24,61,1,4,9,8,16,18,39,81,164	1,1,1,0,1,1,1,1,1,1,1,1,1
0,4,5,9,24,56,128,289	4,2,3,3,3,3,3,2	4,5,9,24,56,128,289,251	1,1,1,1,1,1,1,1
0,5,12,33,82,199,1,1,3,8,13,30,60	4,3,3,3,3,1,1,3,3,3,3,3,3	5,12,33,82,199,1,1,3,8,13,30,60,252	1,1,1,1,0,0,1,1,1,1,1,1,1
0,5,8,9,18,44,51,111,252,25,19,45,86	4,3,2,3,3,2,3,3,1,2,3,3,3	5,8,9,18,44,51,111,252,25,19,45,86,162	1,1,1,1,1,1,1,0,1,1,1,1,1
0,3,6,17,46,57,128	4,3,3,3,2,3,3	3,6,17,46,57,128,304	1,1,1,1,1,1,1
0,5,15,36,93	4,4,3,3,4	5,15,36,93,306	1,1,1,1,1
0,6,13,33,84,200	4,3,3,3,3,3	6,13,33,84,200,519	1,1,1,1,1,1
0,5,14,15,1,3,7,16,35,1,3,4,9,1,3,6,1,2,4,6,10,15,1,3,5,8,10,14,19,27,1,3,5,7,9,11,16,22,29,39,45,116,1,3,5,9,13,17,24,31,41,56	4,3,2,1,3,3,3,3,1,3,3,3,1,3,3,1,2,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3	5,14,15,1,3,7,16,35,1,3,4,9,1,3,6,1,2,4,6,10,15,1,3,5,8,10,14,19,27,1,3,5,7,9,11,16,22,29,39,45,116,1,3,5,9,13,17,24,31,41,56,72	1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,6,10,28,66,168	4,3,3,3,3,3	6,10,28,66,168,433	1,1,1,1,1,1
0,4,12,29,68,173,1,3,5,11,27,58	4,3,3,3,3,1,3,3,3,3,3,3	4,12,29,68,173,1,3,5,11,27,58,129	1,1,1,1,0,1,1,1,1,1,1,1
0,4,10,24,60,148	4,3,3,3,3,3	4,10,24,60,148,372	1,1,1,1,1,1
0,3,7,17,45,53,124,1,3,7,15,33,71,85	3,3,3,3,2,3,1,3,3,3,3,3,2,3	3,7,17,45,53,124,1,3,7,15,33,71,85,347	1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,3,11,30,83	4,4,3,3,3	3,11,30,83,220	1,1,1,1,1
0,3,1,4,6,13,31,1,2,5,7,8,8,11,12,16,23,31,37,67,100,143	1,1,3,2,3,3,1,3,3,2,2,2,2,3,3,3,3,3,4,3,3,3	3,1,4,6,13,31,1,2,5,7,8,8,11,12,16,23,31,37,67,100,143,269	0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,7,16,1,3,5,10,24,28,58,1,3,5,11,19,1,2,4,6,10,15,22,33,49,71	4,2,3,1,3,3,3,3,2,3,1,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3	5,7,16,1,3,5,10,24,28,58,1,3,5,11,19,1,2,4,6,10,15,22,33,49,71,197	1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,3,7,16,42,46,51,109	1,3,3,3,2,2,3,3	3,7,16,42,46,51,109,237	1,1,1,1,1,1,1,1
